Meaning,Spanish,Portuguese,Notes
mushrooms,setas < Uncertain origin,cogumelos < Lat. cucumellum < cucuma,
oleander,adelfa < Ar. دفلى diflà,aloendro  loendro'< Lat. lorandrum,
pumpkin,calabaza < Pre-Roman,abóbora < Lat. peporis,Port. cabaça means 'calabash
squid,calamar < Lat. calamarius,lula < Lat. lura,Port. also has calamar
date,fecha < Lat. facta,data < Lat. data,
elsewhere  somewhere  nowhere,en otro lugar < Lat. in alter localis  en alguna parte < Lat. in aliquis unos pars  en ningún lugar < Lat. in nec unus localis,alhures < Provençal alhors  algures < Lat. + Provençal aliquod + hors  nenhures < Lat. + Provençal nec + hors,
nobody,nadie < Lat. nati < natus,ninguém < Lat. nec + quem,
lawn,césped < Lat. caespes,relvado  grama < Lat. relevare  < Lat. gramen,
holiday  vacation,vacaciones < Lat. vacatio < vacationis,Férias < Lat. feriae,
card,tarjeta < Fr. targe + diminutive suffix eta,cartão  carta < Gr. χάρτης < Lat. charta,
beef steak,filete < Lat. filum,bife < Eng. beef steak,Port. also has filé
retaliation,retorsión < Lat. retorsus,retaliação < Lat. retalio,
remorse,arrepentimiento < Lat. re + paenitere,remorso(s) < Lat. remorsus < remordere,Sp. also has remordimiento
boot (car),maletero < Old Fr. + Sp. suffix malle + eta + ero,porta-bagagens < Lat. + Germanic portare + baugaz,
glove box (car),guantero < Frankish + Sp. suffix want + ero,porta-luvas < Lat. + Gothic/Suebian portare + lôfa,
thin,delgado < Lat. delicātum,magro < Lat. macrum,Sp. magro means 'lean'  in reference to meat
surface  peel,superficie < Lat. superficĭes,tona < Celt. tondā/tunna,Port. also has superfície.
earring,pendiente < Lat. pendere,brinco < Lat. vinculum,
watermelon,sandía < Ar. sindiyyah,melancia < balancia < Lat. bilanx,
passion fruit,fruto de la pasión < Lat. fructa + passio,maracujá < Tupi moruku'ia,Sp. also has maracuyá
window,ventana < Lat. ventānam,janela < Lat. iānuellam,Lat. ventānam 'wind opening' < ventus 'wind'. Lat. iānuella is a diminutive of iānua 'door  opening' (the same root as Eng. January and janitor) < the name ianus  the God of gates or doors.
counter,ventanilla < Lat. ventānam + suffix 'illa',balcão < Germanic balkōn,Sp. balcón means 'balcony'
to disrupt  to get in the way (of someone/smthg),molestar  estorbar < Lat. molestus  exturbāre,atrapalhar < Low-Frankish trappa,
to erase,borrar < Late Lat. burrāre,apagar < Lat. appācāre,Port. borrar means 'to smudge'; cf. Sp. borroso 'blurry'. Sp. apagar means 'to turn off' (a meaning that also exists in Port.  e.g. apagar a luz 'to turn off the light').
to forget,olvidar < Lat. oblītāre,esquecer < Lat. excadescere,Olvidar also exists in Port. (but is far less common). A learned cognate  obliterar  exists in both languages.
to retort  to strike back,contraatacar < Lat. + Ita. contra + attaccare,ripostar < Fr. riposter,
to throw  to add,echar < Lat. iactare,atirar  pôr < Gothic/Suebian taíran  < Lat. ponere < pono,
to smell,oler < Lat. olēre,cheirar < Lat. flagrāre,
to snore,roncar < Lat. ronchus < Gr. ῥέγχος,ressonar Prefix + < Lat. re + sonare,
slug,babosa < Lat. baba + osa,lesma < Lat. limax,
simple,sencillo < Lat. singulus,simples < Lat. simplex,Sp. also has simple.
stage,escenario < Lat. scenarium,palco < Langobardic palk,
fear,temor < Lat. timore,receio < Lat. re + celare,Port. also has temor.
harvest  crop,cosecha < Lat. collecta,seara < Celtic seni + aro,Port. colheita and recolha (both < Lat. collecta) generally refer to the harvest of crops  wine or data collection (i.e. online surveys  personal data).
black,negro < Lat. niger,preto < Lat. pressus 'compressed  dense',Port. also has negro and Sp. also has prieto. Use and connotation vary greatly (i.e. the use of preto to refer to people of African descent is considered a slur in Port. but the prieto in Sp. can often mean "dark"  "tan"  or "swarthy" in a similar fashion to moreno in both Sp. and Port.).
near,cerca < Lat. circa,perto perh. < Lat. * prettus  alteration of pressus 'compressed',
far,lejos < Lat. laxius,longe < Lat. longe,
spark,chispa (onomatopoeic),faísca < Germanic falwiskan,
shard,esquirla < Lat. schidia  < Indo-European skei,lasca < *Proto-Germanic laska  or < *Lat. lesca,
toy,juguete < Lat. + Sp. suffix iocus + ete,brinquedo < Proto-Germanic blinkaną  blīkaną,
swine,cochino (onomatopoeic),suíno < Latin suīnus < Proto-Germanic swīną,
dew,rocío < Lat. rosidus,orvalho < Gothic/Suebian 'ur' + 'vallen' < Proto-Germanic ūrą + fallaną,
pen,bolígrafo < Lat. bulla + Gr. γράφειν,caneta < Lat. cannae + Por. eta,
print (evidence),huella < Lat. follare,marca < Germanic marka,
windrow,hilera < Lat. fīlum + Sp. ‑era,leira < Proto-Celtic ɸlāryo,
yesterday,ayer < Lat. ad heri,ontem < Lat. ad noctem,
to stay,quedarse < Lat. quietāre,ficar < Vulg.Lat. * figicāre,
hairdresser,peluquero < peluque < French perruque "wig",cabeleireiro < cabeleira 'head of hair; wig' < cabelo < Lat. capillus,Port. peruca means 'wig'
chair,silla < Lat. sella,cadeira < Lat. * cathedra  perh. < Proto-Celtic * cathair,
cup  mug,taza < Arabic ṭassa,chávena < Malay chãvan < Chinese < chã-kvãn  caneca < Germanic can,Brazilian Port. tends to use xícara < Sp. jícara < Nahuatl xīcalli.
fork,tenedor < Lat. + Sp. suffix tenēre + dor,garfo < either via Lat. graphium or < Fr. greffe,
ladybird,mariquita < Lat. toponymic Maria + dimin.suffix 'quita',Joaninha < Lat. toponymic Iohanna + suffix 'inha',
robin,petirrojo < Lat. pectus + russus,pisco < Lat < Gaulish pincio,
peach,melocotón < Lat. malum cotonium,pêssego < Lat. [malum] persicum,
pillowcase,funda < Lat. fundus,fronha < Celt. srogna,
grasshopper,saltamontes < Lat. salto + mons,gafanhoto < Proto-Celtic gabalā,
weasel  skunk,mofeta < Ita. moffetta,doninha < Lat. domina + Port. suffix inha,
trousers,pantalón < Fr. pantalon < Ita. pantaleone,calças < Lat. calceu,
doorbell,timbre"(de la puerta) < Fr. timbre,campainha < Lat. campana,Spanish also has campanilla.
thunder,trueno < Lat. tonare,trovão < Lat. turbōnis,
noise,ruido < Lat. rugitus,barulho < Gaulish bruge,Port. also has ruído
handicapped,minusválido < Lat. minus + valere,Deficiente < Lat. deficiens,
development,desarrollo < Lat. + prefix des rotulus,desenvolvimento < Lat. + des involvo,
unavoidable,indefectible < Lat. + prefix in defectibĭlis,incontornável < Lat. + prefix in con+tornare,
drug addict,drogadicto < Eng. drug addict,toxicodependente  drogado < Lat. toxicum + dependens  < Fr. drogue,Both Port. and Sp. have 'toxicomania' for drug addiction
budget,presupuesto < Lat. pre+sub+positus,orçamento < Uncertain  Ita. 'orza' or likely Frankish *lurz + Lat. orça[12] + mentum,
