Birth control method,Brand/common name,Typical-use failure rate (%),Perfect-use failure rate (%),Type,Implementation,User action required
Contraceptive implant,Implanon <ref name=trussell2011/> Jadelle <ref></ref> the implant,(1 of 2000),,Progestogen,Subdermal implant,
Vasectomy<ref name=trussell2011/>,male sterilization,(1 of 666),,Sterilization,Surgical procedure,
Diaphragm and spermicide<ref name=trussell2011/>,,(1 of 6),,Barrier & spermicide,Vaginal insertion
Plastic contraceptive sponge with spermicide used by nulliparous<ref name=trussell2011/><ref name=nulliparous group=note/>,Today sponge  the sponge,,,Barrier & spermicide,Vaginal insertion
<ref name=lea></ref><ref name=lea group=note>In the effectiveness study of Lea's Shield  84% of participants were parous. The unadjusted pregnancy rate in the six-month study was 8.7% among spermicide users and 12.9% among non-spermicide users. No pregnancies occurred among nulliparous users of the Lea's Shield. Assuming the effectiveness ratio of nulliparous to parous users is the same for the Lea's Shield as for the Prentif cervical cap and the Today contraceptive sponge  the unadjusted six-month pregnancy rate would be 2.2% for spermicide users and 2.9% for those who used the device without spermicide.</ref><ref name=parous group=note/>,Lea's Shield,(1 of 6),,Barrier + spermicide,Vaginal insertion
<ref name=nulliparous group=note/>,Prentif,,,Barrier + spermicide,Vaginal insertion
Male latex condom<ref name=trussell2011/><ref name="contraceptivetechnology.org"/>,Condom,(1 of 5),,Barrier,Placed on erect penis
Female condom<ref name=trussell2011/>,,(1 of 4.7),,Barrier,Vaginal insertion
Coitus interruptus<ref name=trussell2011/>,withdrawal method  pulling out,(1 of 5)<ref name="Jones_2009"></ref>,,Behavioral,Withdrawal
Symptoms-based fertility awareness ex. symptothermal and calendar-based methods<ref name=trussell2011/><ref group="note">No formal studies meet the standards of Contraceptive Technology for determining typical effectiveness. The typical effectiveness listed here is from the CDC's National Survey of Family Growth  which grouped symptoms-based methods together with calendar-based methods. See Fertility awareness#Effectiveness.</ref><ref group=note>The term fertility awareness is sometimes used interchangeably with the term natural family planning (NFP)  though NFP usually refers to use of periodic abstinence in accordance with Catholic beliefs.</ref>,TwoDay method  Billings ovulation method  Creighton Model,(1 of 4),,Behavioral,Observation and charting of basal body temperature  cervical mucus or cervical position
Calendar-based methods<ref name=trussell2011/>,the rhythm method  Knaus-Ogino method  Standard Days method,,,Behavioral,Calendar-based
Plastic contraceptive sponge with spermicide used by parous<ref name=trussell2011/><ref name=parous group=note/>,Today sponge  the sponge,(1 of 4),,Barrier & spermicide,Vaginal insertion
Spermicidal gel  foam  suppository  or film<ref name=trussell2011/>,,(1 of 4),,Spermicide,Vaginal insertion
ds<ref name=parous group=note/>,Prentif,,,Barrier + spermicide,Vaginal insertion
Abstinence pledge<ref group=note>Strictly speaking  abstinence pledges are not a method of birth control  as their purpose is preservation of the virginity of unmarried girls  with prevention of pregnancies only being a side-effect. This also means that they are restricted to the time before marriage.</ref><ref></ref>,,(estimated) (1 of 2),,Behavioral,Commitment,
None (unprotected intercourse)<ref name=trussell2011/>,,(6 of 7),,Behavioral,Discontinuing birth control,
Placebo<ref></ref>,,<ref group=note>Several factors may contribute to the fact that the placebo was observed to be significantly less effective than unprotected intercourse: 1. The study was not representative  as it only considered women of low socioeconomic level who had aborted spontaneously and desired pregnancy  2. the placebo may have caused behavioral differences compared to unprotected intercourse: the couples might assume to be protected and thus be less reluctant to have sex and/or be in a different psychological mood that increases fertility via psychosomatic action</ref> (all  after about half a year),,Placebo,Oral medication
Birth control method,Brand/common name,Typical-use failure rate (%),Perfect-use failure rate (%),Type,Implementation,User action required
